Sample Name	Target Name	Quantity
galactose 3 BSA	TDA1_2	0.000135
glucose 1 BSA	TDA1_3	0.000140
glucose 2 BSA	TDA1_3	0.000034
glucose 3 BSA	TDA1_3	0.000271
galactose 1 BSA	TDA1_3	0.000165
galactose 2 BSA	TDA1_3	0.000374
galactose 3 BSA	TDA1_3	0.000123
glucose 1 BSA	TDA1_1	0.000097
glucose 1 BSA	TDA1_2	0.000152
glucose 2 BSA	TDA1_1	0.000048
glucose 2 BSA	TDA1_2	0.000122
glucose 3 BSA	TDA1_1	0.000281
glucose 3 BSA	TDA1_2	0.000380
galactose 1 BSA	TDA1_1	0.000123
galactose 1 BSA	TDA1_2	0.000194
galactose 2 BSA	TDA1_1	0.000361
galactose 2 BSA	TDA1_2	0.000000
galactose 3 BSA	TDA1_1	0.000173
galactose 3 BSA	TDA1_2	0.000132
glucose 1 BSA	TDA1_3	0.000202
glucose 2 BSA	TDA1_3	0.000023
glucose 3 BSA	TDA1_3	0.000326
galactose 1 BSA	TDA1_3	0.000103
galactose 2 BSA	TDA1_3	0.000369
galactose 3 BSA	TDA1_3	0.000122
